"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5236","Complete order and verify confirmation","firefox","Thu Jun 19 13:00:09 PKT 2025","passed","Thu Jun 19 13:00:15 PKT 2025","","complete-order.spec.ts","",""
"","4613","Remove item from cart and proceed to checkout","webkit","Thu Jun 19 13:00:10 PKT 2025","passed","Thu Jun 19 13:00:14 PKT 2025","","cart.spec.ts","",""
"","2341","Remove item from cart and proceed to checkout","firefox","Thu Jun 19 13:00:03 PKT 2025","passed","Thu Jun 19 13:00:05 PKT 2025","","cart.spec.ts","",""
"","3548","Login to Swag Labs with valid credentials","firefox","Thu Jun 19 13:00:09 PKT 2025","passed","Thu Jun 19 13:00:13 PKT 2025","","login.spec.ts","",""
"","5921","Remove item from cart and proceed to checkout","chromium","Thu Jun 19 13:00:02 PKT 2025","passed","Thu Jun 19 13:00:08 PKT 2025","","cart.spec.ts","",""
"","2284","Add items to cart after sorting in Swag Labs","webkit","Thu Jun 19 13:00:16 PKT 2025","passed","Thu Jun 19 13:00:19 PKT 2025","","inventory.spec.ts","",""
"","4798","Add items to cart after sorting in Swag Labs","firefox","Thu Jun 19 13:00:09 PKT 2025","passed","Thu Jun 19 13:00:14 PKT 2025","","inventory.spec.ts","",""
"","4830","Complete checkout step one in Swag Labs","webkit","Thu Jun 19 13:00:10 PKT 2025","passed","Thu Jun 19 13:00:15 PKT 2025","","checkout.spec.ts","",""
"","5292","Complete checkout step one in Swag Labs","chromium","Thu Jun 19 13:00:02 PKT 2025","passed","Thu Jun 19 13:00:08 PKT 2025","","checkout.spec.ts","",""
"","5147","Login to Swag Labs with valid credentials","chromium","Thu Jun 19 13:00:02 PKT 2025","passed","Thu Jun 19 13:00:08 PKT 2025","","login.spec.ts","",""
"","2682","Complete checkout step one in Swag Labs","firefox","Thu Jun 19 13:00:06 PKT 2025","passed","Thu Jun 19 13:00:09 PKT 2025","","checkout.spec.ts","",""
"","5455","Complete order and verify confirmation","chromium","Thu Jun 19 13:00:03 PKT 2025","passed","Thu Jun 19 13:00:08 PKT 2025","","complete-order.spec.ts","",""
"","5168","Add items to cart after sorting in Swag Labs","chromium","Thu Jun 19 13:00:03 PKT 2025","passed","Thu Jun 19 13:00:08 PKT 2025","","inventory.spec.ts","",""
"","5373","Complete order and verify confirmation","webkit","Thu Jun 19 13:00:11 PKT 2025","passed","Thu Jun 19 13:00:16 PKT 2025","","complete-order.spec.ts","",""
"","1306","Login to Swag Labs with valid credentials","webkit","Thu Jun 19 13:00:16 PKT 2025","passed","Thu Jun 19 13:00:17 PKT 2025","","login.spec.ts","",""
